DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag,timestamp,temperature,windspeed,solar_irradiance
04/12/2025,17,2,LZ_NORTH,LZ,-1.22,N,2025-04-12 16:00:00,81.5,19.1,928.0
04/12/2025,8,2,LZ_AEN,LZ,16.39,N,2025-04-12 07:00:00,59.8,0.0,0.0
04/12/2025,8,2,LZ_HOUSTON,LZ,17.44,N,2025-04-12 07:00:00,65.2,10.2,3.0
04/12/2025,8,2,LZ_NORTH,LZ,16.5,N,2025-04-12 07:00:00,57.1,6.9,4.0
04/17/2025,22,3,LZ_AEN,LZ,23.19,N,2025-04-17 21:00:00,75.6,15.7,0.0
04/17/2025,22,3,LZ_HOUSTON,LZ,25.66,N,2025-04-17 21:00:00,73.6,17.6,0.0
04/17/2025,22,3,LZ_NORTH,LZ,31.23,N,2025-04-17 21:00:00,78.0,13.5,0.0
04/13/2025,15,2,LZ_AEN,LZ,0.64,N,2025-04-13 14:00:00,89.9,15.7,869.0
04/13/2025,15,2,LZ_HOUSTON,LZ,31.71,N,2025-04-13 14:00:00,81.1,10.2,909.0
04/13/2025,15,2,LZ_NORTH,LZ,13.74,N,2025-04-13 14:00:00,86.5,19.0,60.0
04/17/2025,4,3,LZ_AEN,LZ,18.15,N,2025-04-17 03:00:00,69.2,11.6,0.0
04/17/2025,4,3,LZ_HOUSTON,LZ,20.99,N,2025-04-17 03:00:00,68.1,15.4,0.0
04/17/2025,4,3,LZ_NORTH,LZ,21.36,N,2025-04-17 03:00:00,68.1,11.2,0.0
04/13/2025,4,4,LZ_AEN,LZ,11.7,N,2025-04-13 03:00:00,64.5,7.6,0.0
04/13/2025,4,4,LZ_HOUSTON,LZ,13.88,N,2025-04-13 03:00:00,66.2,11.7,0.0
04/13/2025,4,4,LZ_NORTH,LZ,14.08,N,2025-04-13 03:00:00,68.3,11.9,0.0
04/12/2025,4,3,LZ_AEN,LZ,15.53,N,2025-04-12 03:00:00,63.3,2.4,0.0
04/12/2025,4,3,LZ_HOUSTON,LZ,16.8,N,2025-04-12 03:00:00,68.8,7.8,0.0
04/12/2025,4,3,LZ_NORTH,LZ,16.44,N,2025-04-12 03:00:00,60.7,6.3,0.0
04/15/2025,18,1,LZ_AEN,LZ,38.29,N,2025-04-15 17:00:00,80.9,5.4,593.0
04/15/2025,18,1,LZ_HOUSTON,LZ,32.75,N,2025-04-15 17:00:00,75.6,8.2,138.0
04/15/2025,18,1,LZ_NORTH,LZ,20.11,N,2025-04-15 17:00:00,73.9,6.4,426.0
04/18/2025,13,2,LZ_AEN,LZ,8.08,N,2025-04-18 12:00:00,86.8,16.9,804.0
04/18/2025,13,2,LZ_HOUSTON,LZ,16.56,N,2025-04-18 12:00:00,81.2,16.5,830.0
04/18/2025,13,2,LZ_NORTH,LZ,19.23,N,2025-04-18 12:00:00,78.8,16.2,345.0
04/18/2025,4,2,LZ_AEN,LZ,13.3,N,2025-04-18 03:00:00,69.7,10.8,0.0
04/18/2025,4,2,LZ_HOUSTON,LZ,16.21,N,2025-04-18 03:00:00,71.9,16.9,0.0
04/18/2025,4,2,LZ_NORTH,LZ,15.55,N,2025-04-18 03:00:00,71.0,16.4,0.0
04/15/2025,7,1,LZ_AEN,LZ,31.11,N,2025-04-15 06:00:00,66.1,2.7,0.0
04/15/2025,7,1,LZ_HOUSTON,LZ,31.12,N,2025-04-15 06:00:00,67.6,4.5,0.0
04/15/2025,7,1,LZ_NORTH,LZ,31.14,N,2025-04-15 06:00:00,61.1,8.4,0.0
04/13/2025,15,4,LZ_AEN,LZ,0.86,N,2025-04-13 14:00:00,89.9,15.7,869.0
04/13/2025,15,4,LZ_HOUSTON,LZ,23.55,N,2025-04-13 14:00:00,81.1,10.2,909.0
04/13/2025,15,4,LZ_NORTH,LZ,15.89,N,2025-04-13 14:00:00,86.5,19.0,60.0
04/17/2025,13,3,LZ_AEN,LZ,2.62,N,2025-04-17 12:00:00,79.1,10.2,679.0
04/17/2025,13,3,LZ_HOUSTON,LZ,21.51,N,2025-04-17 12:00:00,77.7,16.2,480.0
