DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag,timestamp
04/11/2025,3,1,LZ_NORTH,LZ,29.35,N,2025-04-11 02:00:00
04/16/2025,22,3,LZ_AEN,LZEW,54.49,N,2025-04-16 21:00:00
04/16/2025,22,3,LZ_AEN,LZ,54.49,N,2025-04-16 21:00:00
04/16/2025,22,3,LZ_HOUSTON,LZ,68.17,N,2025-04-16 21:00:00
04/16/2025,22,3,LZ_HOUSTON,LZEW,68.17,N,2025-04-16 21:00:00
04/16/2025,22,3,LZ_NORTH,LZ,82.65,N,2025-04-16 21:00:00
04/16/2025,22,3,LZ_NORTH,LZEW,82.65,N,2025-04-16 21:00:00
04/13/2025,3,2,LZ_AEN,LZEW,14.4,N,2025-04-13 02:00:00
04/13/2025,3,2,LZ_AEN,LZ,14.4,N,2025-04-13 02:00:00
04/13/2025,3,2,LZ_HOUSTON,LZ,15.86,N,2025-04-13 02:00:00
04/13/2025,3,2,LZ_HOUSTON,LZEW,15.86,N,2025-04-13 02:00:00
04/13/2025,3,2,LZ_NORTH,LZ,15.51,N,2025-04-13 02:00:00
04/13/2025,3,2,LZ_NORTH,LZEW,15.51,N,2025-04-13 02:00:00
04/18/2025,11,4,LZ_AEN,LZEW,-0.73,N,2025-04-18 10:00:00
04/18/2025,11,4,LZ_AEN,LZ,-0.73,N,2025-04-18 10:00:00
04/18/2025,11,4,LZ_HOUSTON,LZ,5.78,N,2025-04-18 10:00:00
04/18/2025,11,4,LZ_HOUSTON,LZEW,5.78,N,2025-04-18 10:00:00
04/18/2025,11,4,LZ_NORTH,LZ,3.3,N,2025-04-18 10:00:00
04/18/2025,11,4,LZ_NORTH,LZEW,3.3,N,2025-04-18 10:00:00
04/13/2025,8,2,LZ_AEN,LZEW,11.36,N,2025-04-13 07:00:00
04/13/2025,8,2,LZ_AEN,LZ,11.36,N,2025-04-13 07:00:00
04/13/2025,8,2,LZ_HOUSTON,LZEW,12.54,N,2025-04-13 07:00:00
04/13/2025,8,2,LZ_HOUSTON,LZ,12.54,N,2025-04-13 07:00:00
04/13/2025,8,2,LZ_NORTH,LZ,12.96,N,2025-04-13 07:00:00
04/13/2025,8,2,LZ_NORTH,LZEW,12.96,N,2025-04-13 07:00:00
04/13/2025,17,2,LZ_AEN,LZEW,12.39,N,2025-04-13 16:00:00
04/13/2025,17,2,LZ_AEN,LZ,12.39,N,2025-04-13 16:00:00
04/13/2025,17,2,LZ_HOUSTON,LZEW,22.06,N,2025-04-13 16:00:00
04/13/2025,17,2,LZ_HOUSTON,LZ,22.06,N,2025-04-13 16:00:00
04/13/2025,17,2,LZ_NORTH,LZEW,20.17,N,2025-04-13 16:00:00
04/13/2025,17,2,LZ_NORTH,LZ,20.18,N,2025-04-13 16:00:00
04/17/2025,24,4,LZ_AEN,LZEW,16.64,N,2025-04-17 23:00:00
04/17/2025,24,4,LZ_AEN,LZ,16.64,N,2025-04-17 23:00:00
04/17/2025,24,4,LZ_HOUSTON,LZEW,20.02,N,2025-04-17 23:00:00
04/17/2025,24,4,LZ_HOUSTON,LZ,20.02,N,2025-04-17 23:00:00
04/17/2025,24,4,LZ_NORTH,LZ,21.36,N,2025-04-17 23:00:00
04/17/2025,24,4,LZ_NORTH,LZEW,21.36,N,2025-04-17 23:00:00
04/16/2025,13,3,LZ_AEN,LZEW,0.2,N,2025-04-16 12:00:00
04/16/2025,13,3,LZ_AEN,LZ,0.2,N,2025-04-16 12:00:00
